source,target,sign,consistency
AHCYL1,Gene3840__AHCYL1,1,TRUE
AHCYL1,Gene3840__AHCYL1_reverse,1,TRUE
AKR1A1,Gene1561__AKR1A1,1,TRUE
AKR1A1,Gene156__AKR1A1,1,TRUE
AKR1A1,Gene9706__AKR1A1,1,TRUE
AKT2,BIRC5,1,TRUE
AKT2,CDKN1B,-1,TRUE
AKT2,EP300,1,TRUE
AKT2,GSK3B,-1,TRUE
AKT2,MDM2,1,TRUE
ANAPC11,ANAPC2,1,TRUE
ANAPC11,CCNB1,-1,TRUE
ANAPC11,CDC16,1,TRUE
ANAPC13,CCNB1,-1,TRUE
ANAPC13,CDC23,1,TRUE
ANAPC2,ANAPC11,1,TRUE
ANAPC2,ANAPC5,1,TRUE
ANAPC2,ANAPC7,1,TRUE
ANAPC2,CCNB1,-1,TRUE
ANAPC2,CDC16,1,TRUE
ANAPC2,CDC23,1,TRUE
ANAPC2,CDC26,1,TRUE
ANAPC2,FZR1,1,TRUE
ANAPC5,ANAPC2,1,TRUE
ANAPC5,ANAPC7,1,TRUE
ANAPC5,CCNB1,-1,TRUE
ANAPC5,CDC16,1,TRUE
ANAPC5,CDC23,1,TRUE
ANAPC5,FZR1,1,TRUE
ANAPC7,ANAPC2,1,TRUE
ANAPC7,ANAPC5,1,TRUE
ANAPC7,CCNB1,-1,TRUE
ANAPC7,CDC16,1,TRUE
ANAPC7,CDC23,1,TRUE
ANAPC7,FZR1,1,TRUE
APH1A,PSEN1,1,TRUE
APH1A,PSENEN,1,TRUE
AURKA,INCENP,1,TRUE
AURKA,PLK1,1,TRUE
AURKA,RASSF1,-1,TRUE
BIRC5,CASP7,-1,TRUE
BRCA1,CDKN1B,1,TRUE
BRCA1,GADD45A,1,TRUE
BUB1,MAD2L1,1,TRUE
BUB1,MDM2,1,TRUE
BUB1,PLK1,1,TRUE
CASP2,TRAF2,1,TRUE
CASP7,PARP1,-1,TRUE
CCAR2,HDAC3,-1,TRUE
CCAR2,SUV39H1,-1,TRUE
CCNB1,WEE1,1,TRUE
CCND3,CASP2,1,TRUE
CCND3,CDK4,1,TRUE
CCND3,RBL2,-1,TRUE
CCND3,SUV39H1,1,TRUE
CDC16,ANAPC11,1,TRUE
CDC16,ANAPC2,1,TRUE
CDC16,ANAPC5,1,TRUE
CDC16,ANAPC7,1,TRUE
CDC16,CCNB1,-1,TRUE
CDC16,CDC23,1,TRUE
CDC16,CDC26,1,TRUE
CDC16,FZR1,1,TRUE
CDC23,ANAPC13,1,TRUE
CDC23,ANAPC2,1,TRUE
CDC23,ANAPC5,1,TRUE
CDC23,ANAPC7,1,TRUE
CDC23,CCNB1,-1,TRUE
CDC23,CDC16,1,TRUE
CDC23,FZR1,1,TRUE
CDC26,ANAPC2,1,TRUE
CDC26,CCNB1,-1,TRUE
CDC26,CDC16,1,TRUE
CDCA5,WAPL,-1,TRUE
CDK1,ANAPC11,1,TRUE
CDK1,ANAPC2,1,TRUE
CDK1,ANAPC5,1,TRUE
CDK1,ANAPC7,1,TRUE
CDK1,BIRC5,1,TRUE
CDK1,BUB1,1,TRUE
CDK1,BUB1B,1,TRUE
CDK1,CDC16,1,TRUE
CDK1,CDC23,1,TRUE
CDK1,CDC26,1,TRUE
CDK1,DCTN6,1,TRUE
CDK1,E2F1,1,TRUE
CDK1,ERF,-1,TRUE
CDK1,EZH2,-1,TRUE
CDK1,INCENP,1,TRUE
CDK1,KMT5A,1,TRUE
CDK1,NME1,1,TRUE
CDK1,NUP50,-1,TRUE
CDK1,PLK1,1,TRUE
CDK1,SUN1,-1,TRUE
CDK1,UBXN2B,-1,TRUE
CDK1,WAC,1,TRUE
CDK4,BRCA1,-1,TRUE
CDK4,RASSF1,-1,TRUE
CDK4,RBL2,-1,TRUE
CDK4,SUV39H1,1,TRUE
CDK5RAP2,BUB1B,1,TRUE
CDK5RAP2,MAD2L1,1,TRUE
CDKN1B,CCND3,-1,TRUE
CDKN1B,CDK4,-1,TRUE
CEBPB,GOT1,1,TRUE
CEBPB,STAT3,1,TRUE
COQ5,Gene4777__COQ5,1,TRUE
CSNK2A1,CASP2,-1,TRUE
CSNK2A1,CCAR2,1,TRUE
CSNK2A1,CTNNB1,1,TRUE
CSNK2A1,GPI,-1,TRUE
CSNK2A1,LIG1,1,TRUE
CSNK2A1,NUP62,1,TRUE
CSNK2A1,RANGAP1,1,TRUE
CSNK2A1,SEC63,1,TRUE
CSNK2A1,TCF7L2,1,TRUE
CSNK2A1,TELO2,-1,TRUE
CSNK2A1,YWHAQ,-1,TRUE
CTCF,AHCYL1,1,TRUE
CTCF,GALT,1,TRUE
CTNNB1,CCND3,-1,TRUE
CTNNB1,TCF7L2,1,TRUE
DCTN6,PLK1,1,TRUE
DDX17,MDM2,1,TRUE
DDX5,HDAC1,1,TRUE
DGKZ,Gene334__DGKZ,1,TRUE
DGKZ,Gene5786__DGKZ,1,TRUE
E2F1,AURKA,1,TRUE
E2F1,BIRC5,1,TRUE
E2F1,CCND3,1,TRUE
E2F1,CDK1,1,TRUE
E2F1,FBXO5,1,TRUE
E2F1,HDAC1,1,TRUE
E2F1,HSPA5,-1,TRUE
E2F1,PLK1,1,TRUE
E2F1,SIAH1,1,TRUE
E2F1,SKP2,1,TRUE
E2F1,TFDP1,1,TRUE
E2F1,TOP1,1,TRUE
E2F1,YWHAQ,1,TRUE
E2F3,AURKA,1,TRUE
E2F3,CCND3,1,TRUE
E2F3,CDK1,1,TRUE
E2F3,E2F1,1,TRUE
E2F3,PLK1,1,TRUE
E2F3,TFDP1,1,TRUE
EIF3F,NOTCH1,1,TRUE
EP300,DDX17,1,TRUE
EP300,DDX5,1,TRUE
EP300,E2F1,1,TRUE
EP300,HIF1A,1,TRUE
EP300,PARP1,1,TRUE
EP300,YY1,1,TRUE
ERF,ETS2,-1,TRUE
ETS2,MDM2,1,TRUE
ETS2,PSEN1,1,TRUE
EZH2,BRCA1,1,TRUE
FZR1,ANAPC2,1,TRUE
FZR1,ANAPC5,1,TRUE
FZR1,CDC16,1,TRUE
FZR1,CDC23,1,TRUE
G6PD,Gene753__G6PD,1,TRUE
G6PD,Gene753__G6PD_reverse,1,TRUE
G6PD,Gene7544__G6PD,1,TRUE
G6PD,Gene7544__G6PD_reverse,1,TRUE
GADD45A,CDK1,-1,TRUE
GADD45A,PCNA,1,TRUE
GALT,Gene7374__GALT,1,TRUE
GALT,Gene7374__GALT_reverse,1,TRUE
GOT1,Gene5761__GOT1_reverse,1,TRUE
GPI,Gene4822__GPI,1,TRUE
GPI,Gene4822__GPI_reverse,1,TRUE
GPI,Gene4823__GPI_reverse,1,TRUE
GPI,Gene7283__GPI_reverse,1,TRUE
GSK3B,CCND3,-1,TRUE
GSK3B,CDK1,-1,TRUE
GSK3B,CDK4,-1,TRUE
GSK3B,CEBPB,1,TRUE
GSK3B,HNRNPD,-1,TRUE
GSK3B,PSEN1,-1,TRUE
GSK3B,SFPQ,-1,TRUE
GSK3B,UBE2A,1,TRUE
Gene1010__SLC2A1,Metab__HMDB0000169_c,1,TRUE
Gene10513__UGCG,Metab__gluside_hs_c,1,TRUE
Gene109__SLC29A1,Metab__HMDB0000050_m,1,TRUE
Gene109__SLC29A1_reverse,Metab__HMDB0000050_c,1,TRUE
Gene1101__NME1_NME2,Metab__HMDB0000189_n,1,TRUE
Gene1101__NME1_NME2_reverse,Metab__HMDB0003335_n,1,TRUE
Gene1101__NME2_NME1,Metab__HMDB0000189_n,1,TRUE
Gene1101__NME2_NME1_reverse,Metab__HMDB0003335_n,1,TRUE
Gene1465__orphanReacUDPGLCter_TRANSPORTER1,Metab__HMDB0000286_r,1,TRUE
Gene1465__orphanReacUDPGLCter_TRANSPORTER4_reverse,Metab__HMDB0000286_c,1,TRUE
Gene1472__B4GALT2,Metab__HMDB0000186_g,1,TRUE
Gene1484__CMPK1_reverse,Metab__HMDB0001532_c,1,TRUE
Gene1563__GMPR2_reverse,Metab__HMDB0001397_c,1,TRUE
Gene1571__HK1,Metab__HMDB0001401_c,1,TRUE
Gene1571__HK1,Metab__HMDB0003335_c,1,TRUE
Gene1572__HK1,Metab__HMDB0001401_c,1,TRUE
Gene1572__HK1,Metab__HMDB0001508_c,1,TRUE
Gene1573__HK1,Metab__HMDB0001508_c,1,TRUE
Gene1587__IDH1_reverse,Metab__HMDB0000193_m,1,TRUE
Gene1677__orphanReacr0842,Metab__HMDB0000286_r,1,TRUE
Gene1677__orphanReacr0842_reverse,Metab__HMDB0000286_c,1,TRUE
Gene168700002__SLC25A1,Metab__HMDB0000193_c,1,TRUE
Gene172900002__orphanReacr1148,Metab__HMDB0000193_c,1,TRUE
Gene218400002__SLC37A4,Metab__HMDB0001401_r,1,TRUE
Gene220600001__SLC25A1,Metab__HMDB0000193_c,1,TRUE
Gene220700002__SLC25A1,Metab__HMDB0000072_c,1,TRUE
Gene221500003__SLC25A1,Metab__HMDB0000193_m,1,TRUE
Gene221700003__SLC25A1,Metab__HMDB0000193_m,1,TRUE
Gene221900002__SLC25A1,Metab__HMDB0000193_m,1,TRUE
Gene239__G6PC3,Metab__HMDB0001401_r,1,TRUE
Gene2730__orphanReacAHCYStm,Metab__HMDB0000939_m,1,TRUE
Gene2730__orphanReacAHCYStm_reverse,Metab__HMDB0000939_c,1,TRUE
Gene319__CMPK1,Metab__HMDB0001508_n,1,TRUE
Gene319__CMPK1_reverse,Metab__HMDB0001202_n,1,TRUE
Gene319__CMPK1_reverse,Metab__HMDB0001532_n,1,TRUE
Gene330__CMPK1,Metab__HMDB0001508_c,1,TRUE
Gene330__CMPK1,Metab__HMDB0001546_c,1,TRUE
Gene331__CMPK1,Metab__HMDB0001508_n,1,TRUE
Gene331__CMPK1_reverse,Metab__HMDB0000095_n,1,TRUE
Gene331__CMPK1_reverse,Metab__HMDB0001532_n,1,TRUE
Gene338__orphanReacDATPtn,Metab__HMDB0001532_n,1,TRUE
Gene338__orphanReacDATPtn_reverse,Metab__HMDB0001532_c,1,TRUE
Gene3616__orphanReacHCYSte,Metab__HMDB0000742_c,1,TRUE
Gene3616__orphanReacHCYSte_reverse,Metab__HMDB0000742_e,1,TRUE
Gene3680__UGP2,Metab__HMDB0000286_c,1,TRUE
Gene3680__UGP2_reverse,Metab__HMDB0001586_c,1,TRUE
Gene3711__IMPDH1,Metab__HMDB0062755_c,1,TRUE
Gene3711__IMPDH2,Metab__HMDB0062755_c,1,TRUE
Gene3734__PGM1,Metab__HMDB0001401_c,1,TRUE
Gene3734__PGM1_reverse,Metab__HMDB0001586_c,1,TRUE
Gene3734__PGM2,Metab__HMDB0001401_c,1,TRUE
Gene3734__PGM2_reverse,Metab__HMDB0001586_c,1,TRUE
Gene3751__AK2_reverse,Metab__HMDB0000905_c,1,TRUE
Gene3753__IDH1_reverse,Metab__HMDB0000193_c,1,TRUE
Gene3840__AHCY,Metab__HMDB0000050_c,1,TRUE
Gene3840__AHCY,Metab__HMDB0000742_c,1,TRUE
Gene3840__AHCYL1,Metab__HMDB0000050_c,1,TRUE
Gene3840__AHCYL1,Metab__HMDB0000742_c,1,TRUE
Gene3840__AHCYL1_reverse,Metab__HMDB0000939_c,1,TRUE
